GO	evalue
GO:0045860	0.0
GO:0045937	0.0
GO:0046578	0.0
GO:0046677	0.0
GO:0048519	0.0
GO:0048523	0.0
GO:0048585	0.0
GO:0048856	0.0
GO:0050764	0.0
GO:0051049	0.0
GO:0051056	0.0
GO:0051128	0.0
GO:0051171	0.0
GO:0051173	0.0
GO:0051174	0.0
GO:0051246	0.0
GO:0051247	0.0
GO:0051338	0.0
GO:0051346	0.0
GO:0051347	0.0
GO:0051703	0.0
GO:0051704	0.0
GO:0060089	0.0
GO:0060191	0.0
GO:0060192	0.0
GO:0060255	0.0
GO:0060627	0.0
GO:0071496	0.0
GO:0071900	0.0
GO:0071902	0.0
GO:0080090	0.0
GO:0080184	0.0
GO:0090630	0.0
GO:0090702	0.0
GO:0097159	0.0
GO:0097327	0.0
GO:0097367	0.0
GO:0097696	0.0
GO:0098630	0.0
GO:0098743	0.0
GO:0099120	0.0
GO:0106070	0.0
GO:0106071	0.0
GO:1900274	0.0
GO:1900275	0.0
GO:1901265	0.0
GO:1901363	0.0
GO:1901654	0.0
GO:1901700	0.0
GO:1902168	0.0
GO:1902531	0.0
GO:1902533	0.0
GO:1904643	0.0
GO:1905395	0.0
GO:0000003	0.0
GO:0000226	0.0
GO:0000775	0.0
GO:0000776	0.0
GO:0000777	0.0
GO:0000778	0.0
GO:0000779	0.0
GO:0000780	0.0
GO:0000922	0.0
GO:0000940	0.0
GO:0000942	0.0
GO:0005815	0.0
GO:0005816	0.0
GO:0005819	0.0
GO:0005827	0.0
GO:0005856	0.0
GO:0005874	0.0
GO:0005876	0.0
GO:0005881	0.0
GO:0006928	0.0
GO:0007010	0.0
GO:0007017	0.0
GO:0007018	0.0
GO:0007051	0.0
GO:0007052	0.0
GO:0007080	0.0
GO:0007127	0.0
GO:0008017	0.0
GO:0008092	0.0
GO:0008608	0.0
GO:0010564	0.0
GO:0010638	0.0
GO:0015630	0.0
GO:0015631	0.0
GO:0022414	0.0
GO:0030863	0.0
GO:0030981	0.0
GO:0031110	0.0
GO:0031112	0.0
GO:0031113	0.0
GO:0031116	0.0
GO:0031134	0.0
GO:0031334	0.0
GO:0032271	0.0
GO:0032273	0.0
GO:0032886	0.0
GO:0033043	0.0
GO:0042729	0.0
GO:0043254	0.0
GO:0044087	0.0
GO:0044089	0.0
GO:0044430	0.0
