AWHISG00000006956X1	GO:0030170,GO:0005737,GO:0005634,GO:0042853,GO:0097054,GO:0004021,GO:0005739,GO:0005829
AWHISG00000005161X1	GO:0006449,GO:0032436,GO:0006511,GO:0005737,GO:0031624,GO:0061630,GO:0046872,GO:0000151,GO:0000209
AWHISG00000018518X1	GO:0008017,GO:0005737,GO:0005634,GO:0035721,GO:0003723
AWHISG00000009032X1	GO:0005794,GO:0046920,GO:0032580,GO:0071555,GO:0000138,GO:0016021,GO:0036065,GO:0006486,GO:0010493
AWHISG00000016748X1	GO:0006468,GO:0005737,GO:0005524,GO:0106310,GO:0016021,GO:0000165,GO:0004674,GO:0048812,GO:0048511,GO:0004712,GO:0043408,GO:0030421,GO:0005886
AWHISG00000002709X1	GO:0016798,GO:0016021,GO:0005783,GO:0008152,GO:0005789
AWHISG00000003060X1	GO:0048837,GO:0009372,GO:0004630,GO:0060176,GO:0031941,GO:0005509,GO:0016020,GO:0043327,GO:2000249,GO:0070290,GO:1901263,GO:0016042,GO:0031410,GO:0048870,GO:0031143,GO:0006644,GO:0005773,GO:0008277,GO:0045921,GO:0005938,GO:0010467,GO:0043326
AWHISG00000018149X1	GO:0005576,GO:0018996,GO:0006508,GO:0004222,GO:0008270
AWHISG00000005617X1	GO:0016021,GO:0005783,GO:0140147,GO:0006882,GO:0000329,GO:0005385,GO:0005789
AWHISG00000004966X1	GO:0019568,GO:0005737,GO:0005634,GO:0032867,GO:0005829
AWHISG00000002493X1	GO:0000724,GO:0045027,GO:0016021,GO:0097680,GO:0042025,GO:0044201,GO:0016020
AWHISG00000009823X1	GO:0020037,GO:0005770,GO:0015439,GO:0005769,GO:0055037,GO:0005524,GO:0016021,GO:0015086,GO:0035351,GO:0005773,GO:0098849,GO:0010273,GO:0070574,GO:0005774,GO:0046686
AWHISG00000001442X1	GO:0005515,GO:0006469,GO:0016021,GO:0033147,GO:0051493,GO:0043627,GO:0016020,GO:0005654
AWHISG00000008549X1	GO:0003735,GO:0005840,GO:0032543,GO:0005762,GO:0005743,GO:0005739
AWHISG00000013055X1	GO:0005201,GO:0009847,GO:0016021,GO:0030246,GO:0030435,GO:0016020,GO:0030198
AWHISG00000016483X1	GO:0039702,GO:0055036,GO:0042025,GO:0033645,GO:0044200,GO:0016020,GO:0019031,GO:0039660
AWHISG00000003194X1	GO:0006643,GO:0005783,GO:0016021,GO:0005506,GO:0008610,GO:0050479,GO:0005789
AWHISG00000000387X1	GO:0005768,GO:0001181,GO:0031083,GO:0032880,GO:0007032
